Tier,Topic,Model,Dataset,Accuracy,ROC AUC,Positive Samples,Positive Ratio,Precision,Recall,F1 Score
tier 1,making false statements,Decision Tree,Train,1.0,1.0,9,0.0015859030837004405,1.0,1.0,1.0
tier 1,making false statements,Decision Tree,Validation,0.9984202211690363,0.7497361477572559,4,0.00210637177461822,0.6666666666666666,0.5,0.5714285714285714
tier 1,immigration offenses,Decision Tree,Train,1.0,1.0,15,0.0026431718061674008,1.0,1.0,1.0
tier 1,immigration offenses,Decision Tree,Validation,0.995260663507109,0.7129643612201753,7,0.003686150605581885,0.375,0.42857142857142855,0.4
tier 1,corruption,Decision Tree,Train,0.9996475770925111,0.9975499846307406,212,0.0373568281938326,0.9952830188679245,0.9952830188679245,0.9952830188679245
tier 1,corruption,Decision Tree,Validation,0.989468141126909,0.9407263606377131,80,0.042127435492364404,0.8658536585365854,0.8875,0.8765432098765432
tier 1,record falsification,Decision Tree,Train,1.0,1.0,14,0.0024669603524229075,1.0,1.0,1.0
tier 1,record falsification,Decision Tree,Validation,0.9994734070563455,0.8333333333333333,3,0.001579778830963665,1.0,0.6666666666666666,0.8
tier 1,property damage,Decision Tree,Train,0.9998237885462555,0.999906576980568,323,0.05691629955947137,0.9969135802469136,1.0,0.9984544049459042
tier 1,property damage,Decision Tree,Validation,0.9868351764086362,0.9370845204178537,117,0.061611374407582936,0.9035087719298246,0.8803418803418803,0.8917748917748918
tier 1,human trafficking,Decision Tree,Train,0.9996475770925111,0.9915254237288136,118,0.02079295154185022,1.0,0.9830508474576272,0.9914529914529915
tier 1,human trafficking,Decision Tree,Validation,0.9915745129015271,0.8595008051529791,36,0.018957345971563982,0.8125,0.7222222222222222,0.7647058823529411
tier 1,smuggling of goods,Decision Tree,Train,1.0,1.0,26,0.0045814977973568285,1.0,1.0,1.0
tier 1,smuggling of goods,Decision Tree,Validation,0.995260663507109,0.7764550264550264,9,0.004739336492890996,0.5,0.5555555555555556,0.5263157894736842
tier 1,crimes against children,Decision Tree,Train,0.9994713656387665,0.9984953531136623,380,0.06696035242290749,0.994750656167979,0.9973684210526316,0.9960578186596584
tier 1,crimes against children,Decision Tree,Validation,0.9684044233807267,0.9122473633748801,149,0.0784623486045287,0.7730061349693251,0.8456375838926175,0.8076923076923077
tier 1,cybercrime,Decision Tree,Train,0.9989427312775331,0.9857847640539034,177,0.03118942731277533,0.9942196531791907,0.9717514124293786,0.9828571428571429
tier 1,cybercrime,Decision Tree,Validation,0.981042654028436,0.8492114755473534,65,0.034228541337546076,0.7301587301587301,0.7076923076923077,0.71875
tier 1,election crimes,Decision Tree,Train,1.0,1.0,20,0.003524229074889868,1.0,1.0,1.0
tier 1,election crimes,Decision Tree,Validation,0.9942074776197999,0.8723614775725594,4,0.00210637177461822,0.23076923076923078,0.75,0.35294117647058826
tier 1,perjury,Decision Tree,Train,1.0,1.0,6,0.0010572687224669603,1.0,1.0,1.0
tier 1,perjury,Decision Tree,Validation,0.9984202211690363,0.9992096944151739,1,0.000526592943654555,0.25,1.0,0.4
